Phase,Stack,Mode,Profile,Dataset,BookCount,Scenario,Status,ProcessRuns,PassSamples,FailedSamples,UnsupportedSamples,cache_database_bytes_count,cache_database_bytes_max,cache_database_bytes_mean,cache_database_bytes_median,cache_database_bytes_min,cache_database_bytes_p90,cache_database_bytes_stdev,cumulative_dirty_screen_equivalents_count,cumulative_dirty_screen_equivalents_max,cumulative_dirty_screen_equivalents_mean,cumulative_dirty_screen_equivalents_median,cumulative_dirty_screen_equivalents_min,cumulative_dirty_screen_equivalents_p90,cumulative_dirty_screen_equivalents_stdev,forced_gc_live_heap_kb_count,forced_gc_live_heap_kb_max,forced_gc_live_heap_kb_mean,forced_gc_live_heap_kb_median,forced_gc_live_heap_kb_min,forced_gc_live_heap_kb_p90,forced_gc_live_heap_kb_stdev,full_refreshes_count,full_refreshes_max,full_refreshes_mean,full_refreshes_median,full_refreshes_min,full_refreshes_p90,full_refreshes_stdev,largest_single_dirty_pct_count,largest_single_dirty_pct_max,largest_single_dirty_pct_mean,largest_single_dirty_pct_median,largest_single_dirty_pct_min,largest_single_dirty_pct_p90,largest_single_dirty_pct_stdev,lua_heap_delta_kb_count,lua_heap_delta_kb_max,lua_heap_delta_kb_mean,lua_heap_delta_kb_median,lua_heap_delta_kb_min,lua_heap_delta_kb_p90,lua_heap_delta_kb_stdev,natural_lua_heap_kb_count,natural_lua_heap_kb_max,natural_lua_heap_kb_mean,natural_lua_heap_kb_median,natural_lua_heap_kb_min,natural_lua_heap_kb_p90,natural_lua_heap_kb_stdev,partial_refreshes_count,partial_refreshes_max,partial_refreshes_mean,partial_refreshes_median,partial_refreshes_min,partial_refreshes_p90,partial_refreshes_stdev,refresh_count_count,refresh_count_max,refresh_count_mean,refresh_count_median,refresh_count_min,refresh_count_p90,refresh_count_stdev,rss_kb_count,rss_kb_max,rss_kb_mean,rss_kb_median,rss_kb_min,rss_kb_p90,rss_kb_stdev,set_dirty_calls_count,set_dirty_calls_max,set_dirty_calls_mean,set_dirty_calls_median,set_dirty_calls_min,set_dirty_calls_p90,set_dirty_calls_stdev,total_bytes_count,total_bytes_max,total_bytes_mean,total_bytes_median,total_bytes_min,total_bytes_p90,total_bytes_stdev,unique_dirty_pct_count,unique_dirty_pct_max,unique_dirty_pct_mean,unique_dirty_pct_median,unique_dirty_pct_min,unique_dirty_pct_p90,unique_dirty_pct_stdev,wall_time_ms_count,wall_time_ms_max,wall_time_ms_mean,wall_time_ms_median,wall_time_ms_min,wall_time_ms_p90,wall_time_ms_stdev
phase1,A_stock,warm,synthetic,flat,50,close_quick_settings,PASS,1,10,0,0,,,,,,,,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,,,,,,,,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,91.878906,61.600293,61.490723,36.765625,76.336328,15.787620,10,23475.055664,22153.547852,22150.922852,20831.288086,23213.561719,886.879033,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,10,259232.000000,259232.000000,259232.000000,259232.000000,259232.000000,0.000000,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,9.086000,8.351400,8.292000,7.758000,9.035600,0.500145
phase1,A_stock,warm,synthetic,flat,50,home_to_library,PASS,1,10,0,0,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,1204.493164,310.493359,1008.260254,-2213.376953,1182.862402,1282.270446,10,21821.813477,18414.456055,18289.009277,15260.260742,20818.954199,2028.028778,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,201904.000000,194947.200000,194544.000000,190288.000000,200046.400000,3958.532074,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,57.920000,39.357000,34.114500,27.179000,57.627500,12.011179
phase1,A_stock,warm,synthetic,flat,50,library_first_render,PASS,1,10,0,0,,,,,,,,10,14.000000,5.900000,5.000000,1.000000,10.400000,4.408325,,,,,,,,10,14.000000,5.900000,5.000000,1.000000,10.400000,4.408325,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,3050.896484,1359.165625,2138.887207,-1910.417969,2912.212988,1836.690894,10,35613.484375,27658.315918,26870.626953,22284.284180,33375.947266,4453.298418,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,14.000000,5.900000,5.000000,1.000000,10.400000,4.408325,10,217776.000000,209446.400000,208672.000000,203520.000000,214492.800000,4121.042889,10,14.000000,5.900000,5.000000,1.000000,10.400000,4.408325,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,134.488000,67.381100,65.638000,27.458000,86.511700,29.838726
phase1,A_stock,warm,synthetic,flat,50,library_folder_back,PASS,1,10,0,0,,,,,,,,10,1.098301,1.098301,1.098301,1.098301,1.098301,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,1775.954102,1729.728906,1737.351562,1667.846680,1770.612988,39.220605,10,19627.198242,17431.889063,17787.487793,15925.942383,19626.742090,1453.685552,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,249216.000000,249216.000000,249216.000000,249216.000000,249216.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,28.151000,25.681000,25.776000,23.021000,27.801800,1.606752
phase1,A_stock,warm,synthetic,flat,50,library_folder_enter,PASS,1,10,0,0,,,,,,,,10,1.098301,1.098301,1.098301,1.098301,1.098301,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,165.204102,143.631445,140.851562,129.887695,159.705664,12.320144,10,21016.172852,17253.250000,16821.851562,14852.191406,19366.683789,2081.224010,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,249216.000000,249206.400000,249200.000000,249200.000000,249216.000000,8.262364,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,9.362000,8.618400,9.012000,6.903000,9.278300,0.874411
phase1,A_stock,warm,synthetic,flat,50,library_next_page,PASS,1,10,0,0,,,,,,,,10,47.000000,8.900000,5.000000,1.000000,12.800000,13.633700,,,,,,,,10,47.000000,8.900000,5.000000,1.000000,12.800000,13.633700,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,6830.378906,-1482.313867,1863.603516,-24116.384766,2752.251270,9091.976960,10,44561.124023,31361.405664,31270.716797,20029.081055,42121.798828,9454.244975,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,47.000000,8.900000,5.000000,1.000000,12.800000,13.633700,10,249024.000000,240443.200000,241264.000000,229872.000000,247713.600000,7352.622583,10,47.000000,8.900000,5.000000,1.000000,12.800000,13.633700,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,125.578000,66.831800,60.861000,21.322000,120.349000,36.156145
phase1,A_stock,warm,synthetic,flat,50,library_prev_page,PASS,1,10,0,0,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,1566.163086,43.750977,1531.054688,-5176.237305,1561.837109,2520.509535,10,28519.627930,18309.804395,17466.765625,15197.604492,21049.598047,3991.319680,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,249056.000000,249056.000000,249056.000000,249056.000000,249056.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,56.727000,38.539400,33.890500,27.124000,55.396800,10.900386
phase1,A_stock,warm,synthetic,flat,50,open_book,PASS,1,10,0,0,,,,,,,,10,9.000000,9.000000,9.000000,9.000000,9.000000,0.000000,,,,,,,,10,9.000000,9.000000,9.000000,9.000000,9.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,1181.923828,-1576.928125,-2474.836914,-3216.116211,897.877148,1772.754152,10,17159.266602,15908.285840,15867.450195,14545.584961,16873.951660,917.315171,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,9.000000,9.000000,9.000000,9.000000,9.000000,0.000000,10,259232.000000,259206.400000,259200.000000,259200.000000,259232.000000,13.492385,10,9.000000,9.000000,9.000000,9.000000,9.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,85.815000,64.181100,64.732000,47.161000,69.938100,9.690988
phase1,A_stock,warm,synthetic,flat,50,open_book_minimal,PASS,1,10,0,0,,,,,,,,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,1146.148438,-1239.457520,-1383.121094,-3538.535156,1130.945117,1819.050460,10,17494.583984,17032.466211,17258.863770,15948.295898,17437.154492,519.119751,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,259104.000000,258246.400000,257872.000000,257712.000000,259104.000000,579.014335,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,75.551000,63.578400,65.977500,48.898000,72.538700,8.936718
phase1,A_stock,warm,synthetic,flat,50,open_quick_settings,PASS,1,10,0,0,,,,,,,,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,319.780273,252.324121,241.604980,212.956055,295.979492,37.638174,10,19863.934570,18650.227637,18452.120117,17875.064453,19565.799902,667.999385,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,259232.000000,259232.000000,259232.000000,259232.000000,259232.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,9.483000,7.964500,8.139000,4.274000,8.997900,1.414003
phase1,A_stock,warm,synthetic,flat,50,repeated_nav,PASS,1,2,0,0,,,,,,,,2,10.000000,10.000000,10.000000,10.000000,10.000000,0.000000,,,,,,,,2,10.000000,10.000000,10.000000,10.000000,10.000000,0.000000,2,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,2,7881.224609,-6640.424316,-6640.424316,-21162.073242,4976.894824,20536.712859,2,39712.317383,29137.759277,29137.759277,18563.201172,37597.405762,14954.683489,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,10.000000,10.000000,10.000000,10.000000,10.000000,0.000000,2,261920.000000,261888.000000,261888.000000,261856.000000,261913.600000,45.254834,2,10.000000,10.000000,10.000000,10.000000,10.000000,0.000000,,,,,,,,2,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,2,162.639000,130.200500,130.200500,97.762000,156.151300,45.874967
phase1,A_stock,warm,synthetic,flat,50,start_to_home,UNSUPPORTED,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1,A_stock,warm,synthetic,hierarchical,2000,change_sort_mode,PASS,1,10,0,0,,,,,,,,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,321.071289,56.476758,272.284668,-1920.946289,291.901270,695.096700,10,10755.222656,9656.775879,9490.606934,8837.760742,10463.122559,635.419773,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,179024.000000,179014.400000,179008.000000,179008.000000,179024.000000,8.262364,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,21.202000,11.236400,9.815500,8.780000,13.239700,3.708491
phase1,A_stock,warm,synthetic,hierarchical,2000,close_book,PASS,1,10,0,0,,,,,,,,10,3.098301,3.098301,3.098301,3.098301,3.098301,0.000000,,,,,,,,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,1659.378906,276.142871,376.370605,-1942.692383,1645.900000,1392.574748,10,14212.372070,13159.483105,13191.603027,11638.163086,14119.345996,930.494345,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,10,194048.000000,194048.000000,194048.000000,194048.000000,194048.000000,0.000000,10,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,43.494000,30.387500,30.655000,20.773000,37.893300,7.808959
phase1,A_stock,warm,synthetic,hierarchical,2000,close_quick_settings,PASS,1,10,0,0,,,,,,,,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,,,,,,,,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,59.732422,38.799023,37.604492,19.342773,55.351953,15.317689,10,17188.726562,16003.535742,16019.610352,14768.467773,16960.047461,814.309100,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,10,194544.000000,194116.800000,194048.000000,194048.000000,194270.400000,161.776801,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,8.881000,8.107000,7.922500,7.347000,8.718100,0.517616
phase1,A_stock,warm,synthetic,hierarchical,2000,home_to_library,PASS,1,10,0,0,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,361.276367,-478.375586,336.776367,-6504.731445,361.089160,2161.004385,10,14865.117188,11470.323437,11433.912109,8363.620117,14537.272852,2873.782455,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,178624.000000,177372.800000,177664.000000,175872.000000,178523.200000,1036.172101,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,21.165000,14.574100,13.137500,11.384000,20.727600,3.463337
phase1,A_stock,warm,synthetic,hierarchical,2000,library_first_render,PASS,1,10,0,0,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,380.785156,17.636621,329.373535,-1358.039062,350.470801,671.933127,10,9688.174805,8991.448047,9021.471191,8320.120117,9487.926562,474.574339,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,178624.000000,178624.000000,178624.000000,178624.000000,178624.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,20.953000,14.155600,12.609500,11.852000,20.373400,3.469097
