Phase,Stack,Mode,Profile,Dataset,BookCount,Scenario,Status,ProcessRuns,PassSamples,FailedSamples,UnsupportedSamples,cache_database_bytes_count,cache_database_bytes_max,cache_database_bytes_mean,cache_database_bytes_median,cache_database_bytes_min,cache_database_bytes_p90,cache_database_bytes_stdev,cumulative_dirty_screen_equivalents_count,cumulative_dirty_screen_equivalents_max,cumulative_dirty_screen_equivalents_mean,cumulative_dirty_screen_equivalents_median,cumulative_dirty_screen_equivalents_min,cumulative_dirty_screen_equivalents_p90,cumulative_dirty_screen_equivalents_stdev,forced_gc_live_heap_kb_count,forced_gc_live_heap_kb_max,forced_gc_live_heap_kb_mean,forced_gc_live_heap_kb_median,forced_gc_live_heap_kb_min,forced_gc_live_heap_kb_p90,forced_gc_live_heap_kb_stdev,full_refreshes_count,full_refreshes_max,full_refreshes_mean,full_refreshes_median,full_refreshes_min,full_refreshes_p90,full_refreshes_stdev,largest_single_dirty_pct_count,largest_single_dirty_pct_max,largest_single_dirty_pct_mean,largest_single_dirty_pct_median,largest_single_dirty_pct_min,largest_single_dirty_pct_p90,largest_single_dirty_pct_stdev,lua_heap_delta_kb_count,lua_heap_delta_kb_max,lua_heap_delta_kb_mean,lua_heap_delta_kb_median,lua_heap_delta_kb_min,lua_heap_delta_kb_p90,lua_heap_delta_kb_stdev,natural_lua_heap_kb_count,natural_lua_heap_kb_max,natural_lua_heap_kb_mean,natural_lua_heap_kb_median,natural_lua_heap_kb_min,natural_lua_heap_kb_p90,natural_lua_heap_kb_stdev,partial_refreshes_count,partial_refreshes_max,partial_refreshes_mean,partial_refreshes_median,partial_refreshes_min,partial_refreshes_p90,partial_refreshes_stdev,refresh_count_count,refresh_count_max,refresh_count_mean,refresh_count_median,refresh_count_min,refresh_count_p90,refresh_count_stdev,rss_kb_count,rss_kb_max,rss_kb_mean,rss_kb_median,rss_kb_min,rss_kb_p90,rss_kb_stdev,set_dirty_calls_count,set_dirty_calls_max,set_dirty_calls_mean,set_dirty_calls_median,set_dirty_calls_min,set_dirty_calls_p90,set_dirty_calls_stdev,total_bytes_count,total_bytes_max,total_bytes_mean,total_bytes_median,total_bytes_min,total_bytes_p90,total_bytes_stdev,unique_dirty_pct_count,unique_dirty_pct_max,unique_dirty_pct_mean,unique_dirty_pct_median,unique_dirty_pct_min,unique_dirty_pct_p90,unique_dirty_pct_stdev,wall_time_ms_count,wall_time_ms_max,wall_time_ms_mean,wall_time_ms_median,wall_time_ms_min,wall_time_ms_p90,wall_time_ms_stdev
bookends_control,A_stock,warm,bookends_control,real_2692,2692,reader_page_turn,PASS,1,10,0,0,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,41.660156,20.500195,16.224609,11.423828,31.882324,9.865711,10,13240.701172,12549.132324,12724.297852,11145.541992,13138.383301,675.842166,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,348960.000000,348960.000000,348960.000000,348960.000000,348960.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,9.510000,7.813700,8.578000,4.050000,9.375900,1.967491
bookends_control,A_stock,warm,bookends_control,real_2692,2692,start_to_home,UNSUPPORTED,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,change_sort_mode,PASS,1,10,0,0,,,,,,,,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,546.055664,0.278223,497.815430,-2123.391602,541.266504,1078.586572,10,11300.672852,10261.947656,10287.978027,9180.765625,11234.109766,760.441903,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,191120.000000,191110.400000,191104.000000,191104.000000,191120.000000,8.262364,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,24.162000,12.623600,10.856000,9.762000,16.820700,4.442778
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,close_book,PASS,1,10,0,0,,,,,,,,10,3.098301,3.098301,3.098301,3.098301,3.098301,0.000000,,,,,,,,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,1617.388672,959.219434,1223.312012,-952.958008,1555.044336,824.621820,10,23823.897461,22756.817383,22636.070312,21827.374023,23791.285645,792.637431,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,10,355152.000000,355152.000000,355152.000000,355152.000000,355152.000000,0.000000,10,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,60.585000,26.865700,20.583500,13.280000,55.774500,16.722045
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,home_to_library,PASS,1,10,0,0,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,521.711914,-580.757031,456.996094,-10022.310547,502.291602,3317.522002,10,19033.181641,15195.534082,16935.598145,9014.074219,18601.634277,4019.057979,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,190032.000000,187068.800000,187376.000000,182656.000000,190017.600000,2749.019575,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,20.186000,11.916900,11.211000,9.819000,12.912200,2.987660
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,library_first_render,PASS,1,10,0,0,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,557.087891,96.656641,450.401855,-1451.291992,525.773340,812.148465,10,10401.579102,9693.987988,9711.668945,8939.332031,10389.300781,518.358779,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,190624.000000,190624.000000,190624.000000,190624.000000,190624.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,17.507000,12.985500,11.369500,9.607000,17.234300,3.125492
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,library_folder_back,PASS,1,10,0,0,,,,,,,,10,1.098301,1.098301,1.098301,1.098301,1.098301,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,431.156250,-44.542676,349.178711,-1290.584961,387.894727,683.192348,10,10501.864258,9718.727637,9745.296387,9159.609375,10311.276074,466.519747,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,191104.000000,191094.400000,191088.000000,191088.000000,191104.000000,8.262364,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,21.186000,15.019600,13.436000,11.309000,20.424600,3.847437
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,library_folder_enter,PASS,1,10,0,0,,,,,,,,10,1.098301,1.098301,1.098301,1.098301,1.098301,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,271.526367,222.868066,219.901367,186.845703,263.565234,35.089192,10,10702.081055,9884.860254,9962.299316,9364.861328,10573.222852,487.357577,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,191088.000000,191043.200000,191056.000000,190976.000000,191073.600000,35.216158,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,11.733000,10.478900,10.859000,7.900000,11.458500,1.153801
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,library_next_page,UNSUPPORTED,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,library_prev_page,UNSUPPORTED,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
